system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
313_1,0.1535625,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,18_5,0.3829,0.08405742,25.8,4928.214930146387,154.54697,1415.0246028974652,1935.7867839665512,1779.0,0.32911584,48.777885860000026,18,5,0,0,0,0,0,0,0,0,0,0,SAN JOSE CAWA CAWA,0.2169117647058823,272.0,0.4467266112191867,122.06623565503622,6.910828491530324,POINT (122.06623565503622 6.910828491530324)
313_2,0.14386584,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,18_5,0.3829,0.022071308,25.8,4773.577486244724,138.1325,1415.0246028974652,1895.63868951032,1940.0,0.36688712,49.10943380000003,18,5,0,0,0,0,0,0,0,0,0,0,SANTO NIÑO,0.1918465227817745,417.0,0.25347687184771317,122.06848144324653,6.910828491530324,POINT (122.06848144324653 6.910828491530324)
313_3,0.18325326,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,5,18_5,0.3829,0.03776744,21.595001,4946.015226231016,137.76471,1415.0246028974652,1701.8742721289489,1785.0,0.9913577,46.16310056000003,18,5,0,0,0,0,0,0,0,0,0,0,SANTO NIÑO,0.1918465227817745,417.0,0.25347687184771317,122.06848144324653,6.908582703320029,POINT (122.06848144324653 6.908582703320029)
314_0,0.050779358,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,19_5,0.3177,-0.009315943,23.71,4662.798830767728,150.41626,1415.0246028974652,1825.895465935232,3425.5,0.0,50.68514102000006,19,5,0,0,0,0,0,0,0,0,0,0,SANTO NIÑO,0.1918465227817745,417.0,0.25347687184771317,122.07072723145683,6.910828491530324,POINT (122.07072723145683 6.910828491530324)
314_1,0.03277529,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,19_5,0.3177,-0.04634496,33.045,4889.88585565081,135.21172,1415.0246028974652,1961.0701320770463,4102.0,0.23356807,50.66121487999999,19,5,0,0,0,0,0,0,0,0,0,0,CANELAR,0.1798107255520504,634.0,1.0589771059292983,122.07297301966707,6.910828491530324,POINT (122.07297301966707 6.910828491530324)
314_2,0.026859304,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,19_5,0.3177,-0.13657098,33.045,4853.75434635462,83.8219,1415.0246028974652,1831.5477109751905,5018.0,0.32911584,50.39460932000003,19,5,0,0,0,0,0,0,0,0,0,0,CAMINO NUEVO,0.2493150684931507,1095.0,0.7318076428707466,122.07521880787738,6.910828491530324,POINT (122.07521880787738 6.910828491530324)
314_3,0.043001134,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,19_5,0.3177,-0.050456513,34.5,4943.953890900865,78.445,1415.0246028974652,1783.2564235356376,4011.5,0.47821325,50.81502578000004,19,5,0,0,0,0,0,0,0,0,0,0,ZONE IV,0.3009708737864077,412.0,0.3008843698208072,122.07746459608768,6.910828491530324,POINT (122.07746459608768 6.910828491530324)
314_4,0.041931216,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,19_5,0.3177,-0.03535752,28.98,4878.291745382988,136.23627,1415.0246028974652,1704.1715491892917,3621.5,0.52150404,50.04597128,19,5,0,0,0,0,0,0,0,0,0,0,SANTO NIÑO,0.1918465227817745,417.0,0.25347687184771317,122.07072723145683,6.908582703320029,POINT (122.07072723145683 6.908582703320029)
314_5,0.051571175,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,9,19_5,0.3177,-0.065970406,41.56,4941.898764288783,151.60863,1415.0246028974652,1914.9670397135644,4142.5,0.26075745,50.7500834,19,5,0,0,0,0,0,0,0,0,0,0,ZONE II,0.2955326460481099,291.0,0.15205611292368806,122.07297301966707,6.908582703320029,POINT (122.07297301966707 6.908582703320029)
314_6,-0.0035567714,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,10,19_5,0.3177,-0.10671056,41.56,4976.254275962359,90.751755,1415.0246028974652,1934.618627336375,5502.0,0.36903155,51.49862977999999,19,5,0,0,0,0,0,0,0,0,0,0,ZONE II,0.2955326460481099,291.0,0.15205611292368806,122.07521880787738,6.908582703320029,POINT (122.07521880787738 6.908582703320029)
