system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,cell_id,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt
4_8,0.52435064,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,19.0,0_25,0.7606,-0.11674926,0.83,4679.861743159981,87.75969,2906.221962362528,1837.5038718570736,879.0,0.8259201,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.0859999719336315,POINT (121.90229311568442 7.0859999719336315)
4_9,0.74003744,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0025,22.0,0_25,0.7606,-0.25259915,0.83,4670.434201270892,32.826576,2906.221962362528,1985.9017614342383,486.0,3.7350132,-123.14852014,0,25,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.0859999719336315,POINT (121.90453890389472 7.0859999719336315)
5_0,0.3251366,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,18.0,0_26,0.8348500000000001,0.011011419,0.99,3560.24264896128,104.33542,2841.530022472143,1715.533448469126,1235.0,7.848861,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.101720489405729,POINT (121.90229311568442 7.101720489405729)
5_1,0.5343726,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,60.0,0_26,0.8348500000000001,-0.12098581,0.99,3558.1171560384364,24.78327,2841.530022472143,1836.60646603727,911.0,5.0271606,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.101720489405729,POINT (121.90453890389472 7.101720489405729)
5_2,0.40569395,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,14.0,0_26,0.7956000000000001,-0.03519281,0.99,3807.277991365483,180.26239,2906.221962362528,1751.6350690029517,1169.0,3.6628904,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.099474701195426,POINT (121.90229311568442 7.099474701195426)
5_3,0.4841873,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,33.0,0_26,0.7956000000000001,-0.06584507,0.99,3804.713120117165,172.0552,2906.221962362528,1917.40355684936,1052.0,4.5606856,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.099474701195426,POINT (121.90453890389472 7.099474701195426)
5_4,0.53335166,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,13.0,0_26,0.7956000000000001,-0.12011229,0.85,4053.843001239122,153.61823,2906.221962362528,1593.316225249791,850.0,2.5919478,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.0972289129851305,POINT (121.90229311568442 7.0972289129851305)
5_5,0.6280845,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,25.0,0_26,0.7956000000000001,-0.16342483,0.85,4050.611759533878,112.207954,2906.221962362528,1671.5560716445916,731.0,4.2988977,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.0972289129851305,POINT (121.90453890389472 7.0972289129851305)
5_6,0.49719855,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,17.0,0_26,0.7956000000000001,-0.15072083,0.85,4299.440929825218,125.68349,2906.221962362528,1373.8683591170784,1032.0,2.495313,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90229311568442,7.094983124774828,POINT (121.90229311568442 7.094983124774828)
5_7,0.70147735,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,cell_0000_0026,25.0,0_26,0.7956000000000001,-0.22636314,0.85,4295.082979974775,63.231213,2906.221962362528,1425.063679822091,586.0,1.755744,-123.14852014,0,26,0,0,0,0,0,0,0,0,0,0,LABUAN,0.3763066202090592,3157.0,14.86420177152262,121.90453890389472,7.094983124774828,POINT (121.90453890389472 7.094983124774828)
