iter	Passed	Remaining
828	134709	27786
829	134852	27620
830	134997	27454
831	135151	27290
832	135289	27122
833	135424	26955
834	135575	26790
835	135719	26624
836	135865	26458
837	135999	26291
838	136151	26126
839	136283	25958
840	136431	25793
841	136593	25631
842	136739	25466
843	136874	25299
844	137051	25139
845	137199	24974
846	137340	24808
847	137477	24642
848	137629	24478
849	137781	24314
850	137917	24147
851	138069	23983
852	138199	23816
853	138346	23651
854	138485	23485
855	138633	23321
856	138781	23157
857	138941	22994
858	139084	22829
859	139216	22663
860	139370	22499
861	139502	22333
862	139650	22169
863	139803	22006
864	139971	21845
865	140126	21682
866	140267	21517
867	140419	21354
868	140566	21190
869	140763	21033
870	140899	20868
871	141041	20703
872	141216	20543
873	141357	20378
874	141483	20211
875	141640	20049
876	141783	19885
877	141915	19719
878	142066	19556
879	142198	19390
880	142356	19228
881	142523	19067
882	142673	18904
883	142810	18739
884	142962	18577
885	143114	18414
886	143244	18248
887	143391	18085
888	143529	17921
889	143705	17761
890	143849	17597
891	143993	17434
892	144140	17271
893	144277	17106
894	144418	16942
895	144560	16779
896	144735	16619
897	144888	16457
898	145024	16293
899	145193	16132
900	145360	15971
901	145511	15809
902	145657	15646
903	145818	15485
904	145977	15323
905	146121	15160
906	146261	14997
907	146412	14834
908	146557	14671
909	146709	14509
910	146850	14346
911	146995	14183
912	147147	14021
913	147293	13859
914	147433	13696
915	147575	13533
916	147745	13372
917	147908	13211
918	148045	13048
919	148244	12890
920	148443	12732
921	148578	12569
922	148724	12407
923	148872	12244
924	149004	12081
925	149144	11918
926	149292	11756
927	149427	11593
928	149578	11431
929	149723	11269
930	149874	11107
931	150012	10945
932	150147	10782
933	150301	10620
934	150479	10461
935	150628	10299
936	150804	10139
937	150992	9980
938	151141	9818
939	151287	9656
940	151438	9495
941	151568	9332
942	151710	9170
943	151869	9009
944	152015	8847
945	152168	8686
946	152337	8525
947	152490	8364
948	152619	8201
949	152787	8041
950	152926	7879
951	153084	7718
952	153241	7557
953	153385	7395
954	153520	7233
955	153658	7072
956	153818	6911
957	153968	6750
958	154105	6588
959	154256	6427
960	154402	6266
961	154532	6104
962	154657	5942
963	154802	5781
964	154963	5620
965	155087	5458
966	155216	5296
967	155385	5136
968	155560	4976
969	155725	4816
970	155897	4656
971	156047	4495
972	156188	4334
973	156346	4173
974	156499	4012
975	156659	3852
976	156828	3691
977	156981	3531
978	157122	3370
979	157276	3209
980	157426	3049
981	157565	2888
982	157699	2727
983	157873	2567
984	158035	2406
985	158182	2246
986	158339	2085
987	158507	1925
988	158654	1764
989	158796	1604
990	158946	1443
991	159101	1283
992	159246	1122
993	159388	962
994	159553	801
995	159692	641
996	159853	481
997	160004	320
998	160152	160
999	160366	0
