system:index,NDVI,NIR_glcm_asm,NIR_glcm_contrast,NIR_glcm_correlation,NIR_glcm_dissimilarity,NIR_glcm_energy,NIR_glcm_homogeneity,NIR_mean,NIR_std,Red_glcm_asm,Red_glcm_contrast,Red_glcm_correlation,Red_glcm_dissimilarity,Red_glcm_energy,Red_glcm_homogeneity,Red_mean,Red_std,elevation,grid_id,modis_ndvi,ndbi,nighttime_lights,poi_accessibility,population_left,precipitation,road_accessibility,sentinel2_composite,slope,surface_temp,x_idx,y_idx,poi_count_school,poi_count_healthcare,poi_count_market,poi_count_finance,poi_count_transport,poi_count_food,poi_count_water,poi_count_worship,poi_count_public,poi_count_total,barangay_name_clean,poverty_rate,population_right,shape_sqkm,lon,lat,geometry_wkt,grid_cell_id,has_target_data,exclusion_reason
2030_1,0.5123476,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,628,24_34,0.8332,-0.2709282,0.23,0.0,0.276049,1973.236651659012,0.0,1170.0,4.5902057,24.940614380000056,24,34,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.12238036029368,7.169094135714687,POINT (122.12238036029368 7.169094135714687),24_34,False,no_poverty_rate
2031_0,0.5560884,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,612,25_34,0.8332,-0.19036606,0.28,0.0,3.068138,1973.236651659012,0.0,1064.5,4.873161,25.42939124000003,25,34,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.12462614850398,7.1713399239249895,POINT (122.12462614850398 7.1713399239249895),25_34,False,no_poverty_rate
2152_1,0.16055869,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,472,28_36,0.8391000000000001,-0.21799354,0.225,2794.86632892,1.839249,2160.40337985754,0.0,3275.5,4.4107738,28.221913579999978,28,36,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.15382139523786,7.18706044139708,POINT (122.15382139523786 7.18706044139708),28_36,False,no_poverty_rate
2266_0,0.7564778,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,519,24_38,0.8646,-0.26496246,0.22999999,93.83273728955464,9.273422,1940.959762051701,0.0,578.0,3.820269,27.432350960000008,24,38,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.12238036029368,7.205026747079472,POINT (122.12238036029368 7.205026747079472),24_38,False,no_poverty_rate
2329_3,0.6404791,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,392,28_39,0.8552000000000001,-0.2691009,0.23,3376.3471218627446,2.66691,2187.5992453694344,0.0,885.5,2.5203168,26.273642180000024,28,39,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.15382139523786,7.20951832350007,POINT (122.15382139523786 7.20951832350007),28_39,False,no_poverty_rate
2388_2,0.7783697,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,465,28_40,0.8097000000000001,-0.28870356,0.215,3787.544094816383,0.7357,2187.5992453694344,0.0,520.0,2.8023808,28.14329912000005,28,40,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.15382139523786,7.222993052761865,POINT (122.15382139523786 7.222993052761865),28_40,False,no_poverty_rate
2756_7,0.7249476,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,7,42_46,0.49,-0.48788425,0.245,1614.6328348761758,4.168358,2269.046917319298,161.30880864845676,328.0,2.7638204,34.81527416000006,42,46,0,0,0,0,0,0,0,0,0,0,,,,,122.28632289964548,7.274646181598733,POINT (122.28632289964548 7.274646181598733),42_46,False,no_barangay_or_poverty
2934_1,0.46984816,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,8,43_49,0.7898000000000001,-0.21216458,0.14,4147.052227729621,12.429912,2376.5414791703224,1215.6984930918504,611.0,0.9097966,35.01010130000003,43,49,0,0,0,0,0,0,0,0,0,0,,,,,122.29081447606607,7.30608721654292,POINT (122.29081447606609 7.30608721654292),43_49,False,no_barangay_or_poverty
2984_0,0.80075854,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,204,34_50,0.8283,-0.2543149,0.19,1025.2348857524912,1.3574079,2431.725950449705,1817.4898812886213,394.0,4.7552366,33.174624559999984,34,50,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.20547452407476,7.315070369384109,POINT (122.20547452407476 7.3150703693841095),34_50,False,no_poverty_rate
3100_6,0.8405316,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,268,32_52,0.8324,-0.32993248,0.225,0.0,0.330294,2339.751337617636,65.59031381164868,384.0,0.7386416,29.82496495999999,32,52,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.18750821839234,7.328545098645904,POINT (122.18750821839234 7.328545098645904),32_52,False,no_poverty_rate
3114_0,0.1291866,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,14,46_52,0.6805,-0.22026888,0.195,3721.8756479748736,5.427511,2264.382218450308,0.0,455.0,2.2981818,29.60621168,46,52,0,0,0,0,0,0,0,0,0,0,,,,,122.31776393458966,7.333036675066502,POINT (122.31776393458966 7.333036675066502),46_52,False,no_barangay_or_poverty
3114_2,0.7509225,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,22,46_52,0.21505,-0.3263452,0.215,4133.5910086438325,2.605738,2264.382218450308,0.0,405.0,3.3878696,33.171206540000014,46,52,0,0,0,0,0,0,0,0,0,0,,,,,122.31551814637936,7.328545098645904,POINT (122.31551814637936 7.328545098645904),46_52,False,no_barangay_or_poverty
3334_0,0.61034095,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,448,30_56,0.8330000000000001,-0.29360422,0.185,0.0,1.545255,2624.954472273588,0.0,1040.0,2.8234935,28.74828866000001,30,56,0,0,0,0,0,0,0,0,0,0,UNCLAIMED AREA UNDER JURISDICTION OF ZAMBOANGA CITY,,,59.60613796215165,122.17627927734084,7.36896928643128,POINT (122.17627927734083 7.36896928643128),30_56,False,no_poverty_rate
3475_10,-0.07666099,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,23,53_58,0.761,-0.35162094,0.08,0.0,0.125542,2405.1762563586235,275.1057433686892,632.0,3.4084425,33.78303212000003,53,58,0,0,0,0,0,0,0,0,0,0,,,,,122.38513758089864,7.380198227482779,POINT (122.38513758089863 7.380198227482779),53_58,False,no_barangay_or_poverty
4115_2,0.67918086,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,255.0,0.0,124,44_69,0.7504000000000001,-0.16403785,0.03,710.9084716396874,1.390632,2598.4809565246105,0.0,705.0,3.617795,32.54912690000003,44,69,0,0,0,0,0,0,0,0,0,0,,,,,122.3042892053279,7.481258696946227,POINT (122.3042892053279 7.481258696946227),44_69,False,no_barangay_or_poverty
